"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"11/15/2024 12 a.m. EST",32012,21425,28689,25164,82966,72419,12179,42762,15414,21300,11356,15463,43594
US48,"11/15/2024 1 a.m. EST",31243,20517,27745,23104,80034,70202,11695,41086,14755,20120,10894,14762,41503
US48,"11/15/2024 2 a.m. EST",30279,20000,27228,21472,77905,68232,11758,39298,14327,20144,10335,14331,40009
US48,"11/15/2024 3 a.m. EST",28770,19849,26983,20445,76624,67121,11632,37803,14073,19833,9952,14080,39064
US48,"11/15/2024 4 a.m. EST",27365,19884,26950,19952,76380,66761,11674,36668,13980,19750,9800,14047,38492
US48,"11/15/2024 5 a.m. EST",26975,20391,27103,20011,77612,66993,11943,36156,14209,19991,9715,14082,38503
US48,"11/15/2024 6 a.m. EST",26157,21694,27582,21166,79886,67135,12383,36109,15004,20549,9746,14467,39264
US48,"11/15/2024 7 a.m. EST",25582,23801,28857,23038,85212,71057,13770,36549,16362,22298,10039,15588,41169
US48,"11/15/2024 8 a.m. EST",25135,24588,30860,24359,89030,76278,14103,38054,17224,23495,10641,16781,44134
US48,"11/15/2024 9 a.m. EST",25325,24572,31882,25796,89873,78590,12914,40807,17146,22801,11512,17103,45124
US48,"11/15/2024 10 a.m. EST",26494,24223,31536,27114,89122,78100,11557,43578,16644,21845,11554,17166,45127
US48,"11/15/2024 11 a.m. EST",28529,23601,30797,28479,88261,77379,11298,44980,16051,21340,10819,17134,45279
US48,"11/15/2024 12 p.m. EST",30642,23005,30527,29895,87767,76538,11220,45399,15678,21314,10186,17204,45372
US48,"11/15/2024 1 p.m. EST",31718,22683,30221,31202,87132,75685,11217,44933,15543,21052,9952,17119,45669
US48,"11/15/2024 2 p.m. EST",31523,22452,29944,32318,87696,75035,11427,43751,15676,20841,9834,16964,46115
US48,"11/15/2024 3 p.m. EST",31522,22242,29895,32856,87660,74748,12162,42882,16085,20928,9935,16767,46984
US48,"11/15/2024 4 p.m. EST",31148,22287,29721,32993,86977,74311,12942,42539,16887,21306,10000,16538,47799
US48,"11/15/2024 5 p.m. EST",30265,22481,29661,32771,88105,74570,14125,42040,17773,22038,10346,16750,48405
US48,"11/15/2024 6 p.m. EST",29894,23499,29873,32121,91252,76161,14689,41999,18332,22954,10611,16821,48789
US48,"11/15/2024 7 p.m. EST",29708,23990,30412,31392,90835,77751,14393,43040,18107,23586,11023,17665,48755
US48,"11/15/2024 8 p.m. EST",29488,23720,30450,29660,89137,77031,13950,44995,17703,23201,11625,17485,48637
US48,"11/15/2024 9 p.m. EST",31429,23328,29931,27873,87234,75415,13456,45848,17187,22786,11541,17231,47445
US48,"11/15/2024 10 p.m. EST",32760,22775,29436,26071,84823,73815,12845,45189,16602,22220,11284,16994,46431
US48,"11/15/2024 11 p.m. EST",32348,22009,28912,24158,81735,72193,12054,44661,15870,21672,11378,16452,45215
US48,"11/16/2024 12 a.m. EST",31755,21116,28128,22303,80049,70200,11521,43802,15073,20904,11053,15797,43553
US48,"11/16/2024 1 a.m. EST",31147,20460,27270,20431,78078,68522,10798,42320,14484,20119,10643,15127,41899
US48,"11/16/2024 2 a.m. EST",30537,20293,27057,19372,76304,66723,10392,40604,14073,19962,10428,15047,40771
US48,"11/16/2024 3 a.m. EST",29677,20027,26346,18263,75031,65443,10157,40108,13737,19490,9994,14770,39487
US48,"11/16/2024 4 a.m. EST",28538,20084,26136,17655,74355,64499,10306,38759,13543,19821,9728,14710,38849
US48,"11/16/2024 5 a.m. EST",27310,20519,26123,17459,73802,64455,10465,38139,13618,19905,9527,14843,38599
US48,"11/16/2024 6 a.m. EST",26554,21232,26291,17760,73909,64610,10729,38171,13930,20410,9370,15029,38799
US48,"11/16/2024 7 a.m. EST",26115,22312,26810,18658,75681,65905,11185,38369,14467,20824,9516,15606,39316
US48,"11/16/2024 8 a.m. EST",25654,23237,27554,19863,77718,67226,11395,39009,14839,21461,9943,16208,40338
US48,"11/16/2024 9 a.m. EST",25234,23312,28213,21700,79256,69113,10784,40341,14567,21047,10424,16475,41389
US48,"11/16/2024 10 a.m. EST",25930,22808,28726,23488,80709,70664,10386,42054,14103,20607,10636,16704,42758
US48,"11/16/2024 11 a.m. EST",26879,22069,28899,24859,81256,71205,10257,43070,13762,20344,10430,16568,44004
US48,"11/16/2024 12 p.m. EST",27827,21410,28910,26276,80804,71428,10133,43893,13600,20358,10202,16243,45104
US48,"11/16/2024 1 p.m. EST",29435,20904,28790,27626,80311,71025,10140,44012,13588,20051,9904,15956,46046
US48,"11/16/2024 2 p.m. EST",28698,20661,28497,28766,79632,70536,10577,43713,13728,19909,9611,15647,46888
US48,"11/16/2024 3 p.m. EST",27588,20603,28225,29746,79291,69719,11000,43550,14224,19777,9575,15578,47666
US48,"11/16/2024 4 p.m. EST",26698,20762,28250,30325,79898,69804,11888,43135,15242,20095,9554,15537,48539
US48,"11/16/2024 5 p.m. EST",25221,21083,28238,30259,81075,70552,13030,43143,16321,21361,9725,15606,49243
US48,"11/16/2024 6 p.m. EST",24840,22107,28620,29862,84471,72394,13652,42985,17104,22228,10193,15902,49414
US48,"11/16/2024 7 p.m. EST",25007,22618,29432,29639,85092,74588,13414,43737,17020,22824,10701,16262,49525
US48,"11/16/2024 8 p.m. EST",26213,22417,29587,28285,84299,74332,12991,45393,16725,22672,11184,16335,49691
US48,"11/16/2024 9 p.m. EST",28866,22227,29196,26904,83263,73058,12561,45878,16388,22250,11236,16079,48729
US48,"11/16/2024 10 p.m. EST",30550,21928,28809,25667,81642,71640,12035,45361,15918,21759,11093,16059,47809
US48,"11/16/2024 11 p.m. EST",28833,21274,28171,24203,79211,70376,11386,44620,15287,21061,11264,15688,46748
US48,"11/17/2024 12 a.m. EST",28645,20630,27393,22359,77130,68778,10748,43482,14567,20400,11046,15537,45346
US48,"11/17/2024 1 a.m. EST",28337,20126,26622,20817,75659,66930,10246,41894,14042,19736,10741,14579,43416
US48,"11/17/2024 2 a.m. EST",27893,19876,25939,19555,75682,64884,10151,40554,13655,19170,10466,14654,41936
US48,"11/17/2024 3 a.m. EST",26722,19936,25524,18744,75029,64049,10003,38988,13401,19225,10169,14424,40853
US48,"11/17/2024 4 a.m. EST",25954,20127,25306,18221,75116,63171,9962,37660,13265,19168,9915,14439,40035
US48,"11/17/2024 5 a.m. EST",25135,20591,25132,18030,75245,62647,9811,36699,13303,18928,9796,14799,39697
US48,"11/17/2024 6 a.m. EST",24402,21392,25185,18249,75742,62630,10138,36347,13559,19162,9818,15151,39920
US48,"11/17/2024 7 a.m. EST",23898,22463,25408,18950,77862,63827,10670,36274,13992,19893,9927,15551,40228
US48,"11/17/2024 8 a.m. EST",23596,23636,25953,20095,79879,65469,10820,36864,14258,20432,10217,16133,40859
US48,"11/17/2024 9 a.m. EST",23586,23791,26622,22139,80065,67029,10255,37872,14055,20320,10655,16664,41474
